region_name;2014;2015;2016;2017;2018;2019;2020;2021;2022
Белгородская область ;30;28;29;30;28;30;25;23;25
Брянская область ;67;65;62;64;59;59;51;50;54
Владимирская область ;60;54;53;56;50;54;46;49;45
Воронежская область ;46;43;44;44;37;35;28;26;28
Ивановская область ;53;46;42;42;42;41;35;30;32
Калужская область ;51;42;40;42;39;42;33;36;36
Костромская область ;58;56;57;58;54;52;47;48;51
Курская область ;59;54;51;59;51;52;42;39;42
Липецкая область ;50;46;45;47;41;41;35;37;38
Московская область;43;36;33;32;27;30;27;26;26
Орловская область ;64;58;52;57;50;58;53;45;50
Рязанская область ;46;40;46;45;39;41;39;47;50
Смоленская область ;55;51;49;56;53;53;53;53;56
Тамбовская область ;53;46;41;42;43;45;40;37;37
Тверская область ;61;54;48;49;43;45;38;35;37
Тульская область ;46;41;44;42;38;36;36;30;40
Ярославская область ;56;48;50;50;43;42;37;36;40
Москва;24;22;24;28;23;22;22;22;27
Республика Карелия ;64;58;58;69;57;57;49;38;42
Республика Коми  ;58;56;56;67;61;63;60;61;61
Архангельская область ;72;68;59;59;59;63;61;58;57
Ненецкий автономный округ       ;58;48;50;57;52;55;49;43;51
Вологодская область ;69;61;64;69;63;62;59;53;53
Калининградская область;59;54;55;56;46;57;48;39;41
Ленинградская область;58;57;52;52;51;51;43;40;42
Мурманская область;50;49;50;53;51;52;60;59;53
Новгородская область ;64;62;59;60;54;53;49;48;46
Псковская область ;86;74;72;76;69;68;71;60;69
Санкт-Петербург;35;34;34;31;30;33;30;30;31
Республика Адыгея (Адыгея);35;34;33;34;33;30;23;23;24
Республика Калмыкия;28;24;28;27;24;22;18;17;18
Республика Крым;36;38;39;38;34;35;33;30;31
Краснодарский край;36;34;35;31;27;26;25;25;28
Астраханская область;32;29;32;39;35;35;32;33;28
Волгоградская область;65;63;57;45;40;41;40;35;45
Ростовская область;33;28;32;33;29;29;27;26;30
Республика Дагестан;12;12;14;12;12;13;11;12;12
Республика Ингушетия;13;13;14;13;11;11;10;10;11
Кабардино-Балкарская Республика;20;20;21;21;17;20;11;10;13
Карачаево-Черкесская Республика;26;25;23;28;26;27;23;26;22
Республика Северная Осетия-Алания;32;28;26;31;23;24;21;22;23
Чеченская Республика;11;12;14;12;13;13;14;14;13
Ставропольский край;43;39;39;41;38;40;34;35;33
Республика Башкортостан;33;32;31;35;33;36;35;33;30
Республика Марий Эл;60;56;62;69;64;65;59;55;60
Республика Мордовия;61;46;46;50;40;37;35;41;43
Республика Татарстан;45;40;40;45;41;41;39;39;40
Удмуртская Республика;51;44;43;47;47;46;47;45;45
Чувашская Республика - Чувашия;56;53;54;56;53;55;49;48;52
Пермский край;59;49;47;64;63;66;61;54;54
Кировская область;73;67;65;68;65;66;55;52;56
Нижегородская область;55;50;51;52;44;46;40;41;47
Оренбургская область;76;72;72;76;70;73;61;55;63
Пензенская область;54;48;50;53;42;44;45;41;45
Самарская область;43;40;41;43;39;41;38;36;39
Саратовская область;52;46;48;50;44;46;46;46;51
Ульяновская область;46;42;45;50;45;46;44;38;39
Курганская область;69;61;70;70;64;67;58;50;72
Свердловская область;68;62;64;66;64;65;63;60;62
Тюменская область;53;49;51;52;45;48;43;41;41
Ханты-Мансийский автономный округ;50;47;46;47;41;40;37;35;36
Ямало-Ненецкий автономный округ;57;54;63;56;49;50;44;42;41
Челябинская область;53;49;49;55;49;52;51;46;46
Республика Алтай;54;51;56;63;50;54;49;45;44
Республика Тыва;55;51;49;55;41;42;36;40;46
Республика Хакасия;60;45;43;48;41;45;45;42;40
Алтайский край;47;45;48;49;46;49;43;40;46
Красноярский край;68;64;67;72;66;68;63;63;60
Иркутская область;64;61;64;70;57;61;57;53;55
Кемеровская область;76;67;69;77;67;68;63;64;65
Новосибирская область;73;62;64;70;64;65;59;55;56
Омская область;33;33;35;42;37;35;35;33;34
Томская область;56;54;60;65;63;63;59;58;59
Республика Бурятия;57;53;62;64;55;51;43;44;41
Республика Саха (Якутия);68;69;72;76;68;67;56;58;60
Забайкальский край;56;55;61;62;55;55;47;48;51
Камчатский край;58;51;63;59;60;58;54;48;48
Приморский край;53;49;52;54;48;47;43;41;44
Хабаровский край;73;61;62;68;62;61;57;54;59
Амурская область;81;68;66;63;59;63;55;53;58
Магаданская область;105;97;100;88;80;80;73;70;69
Сахалинская область;83;73;69;70;63;62;58;55;59
Еврейская автономная область;79;81;79;86;76;82;71;64;61